name,rating,formatted_phone_number,international_phone_number,website,user_ratings_total,types,formatted_address
Provenance Distributions Ltd (Hong Kong),5,3958 2310,+852 3958 2310,http://www.provenance.com.hk/,1, food point_of_interest establishment,"L20, Infinitus Plaza, 199 Des Voeux Rd Central, Sheung Wan, Hong Kong"
n仔零食,5,6233 5639,+852 6233 5639,https://beverage-distributor-377.business.site/?utm_source=gmb&utm_medium=referral,1, point_of_interest establishment,"324A Un Chau St, Cheung Sha Wan, Hong Kong"
Medical Distributor Alliance Ltd (MDA),5,3590 5130,+852 3590 5130,http://mdaco.com/,1, health point_of_interest establishment,"Unit 401, Tower 1, Magnet Place, 77 Container Port Rd, Kwai Chung, Hong Kong"
Mount T-House,5,3590 2700,+852 3590 2700,http://www.mt-thouse.com/,1, point_of_interest establishment,"Lai Cheong Factory Building, 479 Castle Peak Rd, Lai Chi Kok, Hong Kong"
Cerveza Sol International Limited,5,3590 2700,+852 3590 2700,http://www.mt-thouse.com/,1, point_of_interest establishment,"Office Tower Langham Place 8 Argyle St Mong Kok KL, Mong Kok, Hong Kong"
Adagio Brands,5,3520 2270,+852 3520 2270,http://www.adagiobrands.com/,1, point_of_interest establishment,"499 Castle Peak Rd, Lai Chi Kok, Hong Kong"
BuzzdFolks,5,3520 2270,+852 3520 2270,http://www.adagiobrands.com/,1, food point_of_interest establishment,"9F Unit N-17, Kaiser Estate Phase 3, 11 Hok Yuen St, Hung Hom, Hong Kong"
Malt & Grape,5,2363 2889,+852 2363 2889,https://maltandgrape.com/,1, point_of_interest establishment,"ROOM NO.1, FLAT C ON 1ST FLOOR, Cheong Wah Factory Building, 39-41 Sheung Heung Rd, To Kwa Wan, Hong Kong"
Foreign Press Distributors Limited,5,2756 8193,+852 2756 8193,http://www.foreignpress.com.hk/,1, point_of_interest establishment,"Hong Kong, 九澈觊_道No.20钜松第8工I大B11B"
Hop Leaf Ltd,5,2439 9956,+852 2439 9956,http://hopleaf.hk/,1, point_of_interest establishment,"Flat 3G2, 3/F,, Marvel Industrial Building Block B, 17-23 Kwai Fung Crescent, Kwai Chung, Hong Kong"
Bestbev HK,5,9314 3330,+852 9314 3330,http://bestbevhk.com/,1, point_of_interest establishment,"158A Connaught Rd W, Sai Ying Pun, Hong Kong"
Man Lee Paper Products Factory,5,2325 0338,+852 2325 0338,http://bestbevhk.com/,1, point_of_interest establishment,"Hong Kong, San Po Kong, 香港九新蒲爵街35百俟S大B5字D室"
Tak Hing Paper Co,5,2393 7934,+852 2393 7934,http://www.takhingpaper.com/,1, point_of_interest establishment,"Hong Kong, 旺角大南街33基隆街17-33G/F"
Tsingtao Beer (HK) Trading Co Ltd,2,2850 6882,+852 2850 6882,http://www.takhingpaper.com/,1, point_of_interest establishment,"Flat A1, 19/F, Yardley Commercial Building, 3 Connaught Road West, Sheung Wan, Sheung Wan, Hong Kong"
R. K. Store,2,2850 6882,+852 2850 6882,http://www.takhingpaper.com/,1, point_of_interest establishment,"Hi Lung Ln, Yau Ma Tei, Hong Kong"
Thomson House Ltd,2,2395 4659,+852 2395 4659,http://www.takhingpaper.com/,1, point_of_interest establishment,"G/F, 623 Shanghai St, Mong Kok, Hong Kong"
Foster's Special Beverages,2,2395 4659,+852 2395 4659,http://www.takhingpaper.com/,1, point_of_interest establishment,"Hong Kong, Wan Chai, 捷利中心"
成昌行有限公司,2,2396 0122,+852 2396 0122,http://www.takhingpaper.com/,1, point_of_interest establishment,"Mong Kok, Hong Kong"
Sumipac Distribution Services Limited,2,2739 1383,+852 2739 1383,http://www.sumipacd.com/,1, point_of_interest establishment,"Unit D,2/F, Por Yen Building, 478 Castle Peak Rd, Cheung Sha Wan, Hong Kong"
Efes Hong Kong - No.1 Turkish Beer,2,2363 2889,+852 2363 2889,http://efes.com.hk/,1, point_of_interest establishment,"ROOM NO.1, FLAT C ON 1ST FLOOR, Cheong Wah Factory Building, 39-41 Sheung Heung Rd, To Kwa Wan, Hong Kong"
Kwong Tak Paper Co Ltd,2,2363 2889,+852 2363 2889,http://efes.com.hk/,1, point_of_interest establishment,"4-6 Apliu St, Tong Mi, Hong Kong"
Tak Hing Paper Company,4.3,2393 7934,+852 2393 7934,http://www.takhingpaper.com/,3, point_of_interest establishment,"Hong Kong, Mong Kok, Tai Nan St, 33G/F太子大南街33地下"
Yakult International (HK) Ltd,4.3,2393 7934,+852 2393 7934,http://www.takhingpaper.com/,3, point_of_interest establishment,"Causeway Bay, Hong Kong"
Papyrus,4.3,2918 9711,+852 2918 9711,http://www.takhingpaper.com/,3, point_of_interest establishment,"Pacific Place, 322A, Admiralty, Hong Kong"
永信I有限公司,5,2542 2009,+852 2542 2009,http://www.winsonpaper.com.hk/,1, point_of_interest establishment,"Central, Hong Kong"
u菜仔Vegemonkey,5,6685 2718,+852 6685 2718,http://vegemonkey.com/,1, food point_of_interest establishment,"Hong Kong, Cheung Sha Wan, MarketHK 九 L沙 B20, Vegetable Market, Phase 1, Wholesale Food"
Pernod Ricard Hong Kong Limited,5,2398 3636,+852 2398 3636,http://pernod-ricard.com/,4, liquor_store point_of_interest store establishment,"15 Canton Rd, Tsim Sha Tsui, Hong Kong"
Lick Sang Industrial Company,5,2793 3984,+852 2793 3984,http://www.lick-sang.com.hk/,4, point_of_interest establishment,"Hong Kong, Yau Tong, Sze Shan St, 2工I大B第3座4字D室"
f成香港(2000)有限公司,5,2686 0288,+852 2686 0288,http://www.yeos.com.hk/,4, point_of_interest establishment,"Hong Kong, L沙抽L沙车778-784香港中心3501室"
The Wine Club One,5,9248 3652,+852 9248 3652,http://www.yeos.com.hk/,4, point_of_interest establishment,"1 Des Voeux Rd Central, Central, Hong Kong"
七冰室 香港站,5,9248 3652,+852 9248 3652,https://m.facebook.com/sevensipshk,3, point_of_interest establishment,"Hong Kong, 旺角弼街60Bm"
"Maxxium Hong Kong, Ltd.",5,2831 7345,+852 2831 7345,http://maxxium.co.uk/,3, point_of_interest establishment,"Hong Kong, 北角英皇道338A懋交易V龆期20/F"
Swire Coca-Cola HK,5,2831 7345,+852 2831 7345,http://maxxium.co.uk/,3, point_of_interest establishment,"PO Leung Kuk Chee Jing Yin Primary School Pok Hong Estate Shatin NT, Leighton Hill, Hong Kong"
Yuen Fat Paper Products Factory Limited,5,2341 5721,+852 2341 5721,http://maxxium.co.uk/,3, point_of_interest establishment,"Hong Kong, Kwun Tong, Hoi Yuen Rd, 54S利中心15字3室"
Tai Tak Paper Co Ltd,5,2572 7546,+852 2572 7546,http://www.taitak.hk/,3, point_of_interest establishment,"Millennium City Tower 2, Kwun Tong Rd, Kwun Tong, Hong Kong"
Owlsome Group,5,2537 0415,+852 2537 0415,http://owlsomegroup.com/,3, point_of_interest establishment,"Room 2902-03, Lippo Centre Tower 2, 89 Queensway, Admiralty, Hong Kong"
TenRen's Tea,4.2,2886 0494,+852 2886 0494,https://www.facebook.com/TenRensTeaHongKong/,81, point_of_interest establishment,"546 Nathan Rd, Yau Ma Tei, Hong Kong"
clarity/smart energy,4.2,2915 8800,+852 2915 8800,https://www.facebook.com/TenRensTeaHongKong/,81, point_of_interest establishment,"7F, Hong Kong Trade Centre, 161-167 Des Voeux Rd Central, Central, Hong Kong"
Diamond Distributor,4.2,2721 3000,+852 2721 3000,https://www.facebook.com/TenRensTeaHongKong/,81, point_of_interest establishment,"Hong Kong, Tsim Sha Tsui, 九尖沙咀漆咸道17-19帝后V"
Sun Po Trading Co.,5,2359 3170,+852 2359 3170,https://www.sunpoeyewear.com/,3, point_of_interest establishment,"5/F, Capital Commercial Building, 446-448 Shanghai St, Mong Kok, Hong Kong"
